OBJECTID,FEATURE,DATE_MOD,OWNER,OWNER_NAME,OPERATOR,CLASS,LINE_NAME,RR_TYPE1,RR_TYPE2,RR_TYPE3,GDB_SUBTYP,GISCODE,Subdivisio,MP_From,MP_To,Direction,Station_To,Station__F,Comments,Trk_Name,HAUL_RIGHT,TRACK_RIGH,STRACNET,ELECTRIFIC,WEIGHT_LIM,PARENT_CO,BUS_FID_Le,ShapeSTLength
122,Siding,2006-04-10T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,MONTAUK BRANCH,C3,NA,NA,1,n/a,Montauk,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,156.1575098,512.38891073987
123,Siding,2006-04-07T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,MONTAUK BRANCH,C3,NA,NA,1,n/a,Montauk,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,223.64774365,733.84507657104
124,Yard,2006-04-07T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,BABYLON YARD,COMM,NA,NA,2,n/a,Montauk,0,0, , , , , ,n/a,n/a,N,R,263,Metropolitan Transportation Authority,305.00050379,1000.80322467403
125,Yard,2006-04-07T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,BABYLON YARD,COMM,NA,NA,2,n/a,Montauk,0,0, , , , , ,n/a,n/a,N,R,263,Metropolitan Transportation Authority,293.89542507,964.363900147212
126,MultipleTrack,2006-04-07T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,4,MONTAUK BRANCH,COMM,C3,NA,3,n/a,Montauk,0,115.09999847,East,Montauk,Penn Station, ,Babylon Yd Secondary,n/a,NYAR,N,R,263,Metropolitan Transportation Authority,2269.63240493,7447.39362508557
127,MultipleTrack,2006-04-07T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,4,MONTAUK BRANCH,COMM,C3,NA,3,n/a,Montauk,0,115.09999847,East,Montauk,Penn Station, ,Babylon 2nd to 1,n/a,NYAR,N,R,263,Metropolitan Transportation Authority,76.74969424,251.84062844117
128,Siding,2006-04-10T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,MONTAUK BRANCH,C3,NA,NA,1,n/a,Montauk,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,347.52038517,1140.28908918885
129,Siding,2006-03-30T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,PORT JEFFERSON BRANCH,COMM,C3,NA,3,n/a,Port Jefferson,24.79999924,63.70000076,East,Port Jefferson,Hicksville, ,Runaround,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,377.56703574,1238.93513304013
130,Siding,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,250.44752602,821.569204813767
131,MultipleTrack,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,LIRR MAIN LINE,COMM,C3,NA,3,n/a,Main Line,0,0, , , , ,Middle,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,387.71918547,1271.78962446837
132,Siding,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,LIRR MAIN LINE,C3,NA,NA,1,n/a,Main Line,0,0,n/a,n/a,n/a, ,Industrial Siding,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,82.72853888,271.401979669051
133,SingleTrack,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,LIRR MAIN LINE,COMM,C3,NA,3,151070211,Main Line,0,94.30000305,East,Greenport,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,13865.0333592,45483.9606878198
134,MultipleTrack,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,LIRR MAIN LINE,COMM,C3,NA,3,151070211,Main Line,0,94.30000305,East,Greenport,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,576.57368298,1891.39569069269
135,SingleTrack,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,LIRR MAIN LINE,COMM,C3,NA,3,151070211,Main Line,0,94.30000305,East,Greenport,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,12164.0245289,39902.1157792544
136,MultipleTrack,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,LIRR MAIN LINE,COMM,C3,NA,3,151070211,Main Line,0,94.30000305,East,Greenport,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,395.75868186,1298.19331954043
137,SingleTrack,2006-04-25T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,3,LIRR MAIN LINE,COMM,C3,NA,3,151070211,Main Line,0,94.30000305,East,Greenport,Penn Station, ,Single Main,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,6047.88452782,19838.413627541
138,Yard,2006-03-31T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,1,PORT JEFFERSON YARD,COMM,C3,NA,3,n/a,Port Jefferson,0,0, , , , , ,n/a,NYAR,N,N,263,Metropolitan Transportation Authority,228.2502484,748.896910357556
139,MultipleTrack,2006-04-07T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,4,MONTAUK BRANCH,COMM,C3,NA,3,n/a,Montauk,0,115.09999847,East,Montauk,Penn Station, ,Babylon 1 to 2,n/a,NYAR,N,R,263,Metropolitan Transportation Authority,67.56710738,221.709802343243
140,MultipleTrack,2006-04-07T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,4,MONTAUK BRANCH,COMM,C3,NA,3,n/a,Montauk,0,115.09999847,East,Montauk,Penn Station, ,Babylon 1 to 2,n/a,NYAR,N,R,263,Metropolitan Transportation Authority,68.39889293,224.439065243178
141,MultipleTrack,2006-04-07T00:00:00.000Z,LIRR,Long Island Rail Road,LIRR,4,MONTAUK BRANCH,COMM,C3,NA,3,n/a,Montauk,0,115.09999847,East,Montauk,Penn Station, ,Babylon 1 to 2nd,n/a,NYAR,N,R,263,Metropolitan Transportation Authority,64.88506829,212.908849017416
